nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Sombrio,Alagamentos,Fev,2014,1
Sombrio,Chuvas Intensas,Mai,2022,1
Sombrio,Chuvas Intensas,Mai,2024,1
Sombrio,Chuvas Intensas,Jun,2023,1
Sombrio,Chuvas Intensas,Jun,2024,1
Sombrio,Chuvas Intensas,Jul,2023,1
Sombrio,Chuvas Intensas,Out,2023,2
Sombrio,Chuvas Intensas,Nov,2023,1
Sombrio,Chuvas Intensas,Dez,2021,1
Sombrio,Enxurradas,Fev,2003,1
Sombrio,Enxurradas,Set,2009,1
Sombrio,Inundações,Mai,2004,1
Sombrio,Inundações,Set,2001,1
Sombrio,Inundações,Set,2013,1
Sombrio,Inundações,Dez,1995,1
