regiao_costeira,mes_nome,n_eventos
Região Norte,Jan,54
Região Norte,Fev,32
Região Norte,Mar,27
Região Norte,Abr,3
Região Norte,Mai,7
Região Norte,Jun,5
Região Norte,Jul,3
Região Norte,Ago,4
Região Norte,Set,10
Região Norte,Out,11
Região Norte,Nov,23
Região Norte,Dez,12
Região Centro-Norte,Jan,33
Região Centro-Norte,Fev,15
Região Centro-Norte,Mar,21
Região Centro-Norte,Abr,18
Região Centro-Norte,Mai,17
Região Centro-Norte,Jun,6
Região Centro-Norte,Jul,1
Região Centro-Norte,Ago,4
Região Centro-Norte,Set,12
Região Centro-Norte,Out,16
Região Centro-Norte,Nov,15
Região Centro-Norte,Dez,12
Região Central,Jan,35
Região Central,Fev,11
Região Central,Mar,14
Região Central,Abr,3
Região Central,Mai,7
Região Central,Jun,3
Região Central,Jul,1
Região Central,Ago,3
Região Central,Set,9
Região Central,Out,14
Região Central,Nov,18
Região Central,Dez,14
Região Centro-Sul,Jan,7
Região Centro-Sul,Fev,1
Região Centro-Sul,Mar,3
Região Centro-Sul,Abr,5
Região Centro-Sul,Mai,12
Região Centro-Sul,Jun,7
Região Centro-Sul,Jul,3
Região Centro-Sul,Ago,5
Região Centro-Sul,Set,4
Região Centro-Sul,Out,11
Região Centro-Sul,Nov,5
Região Centro-Sul,Dez,8
Região Sul,Jan,8
Região Sul,Fev,11
Região Sul,Mar,4
Região Sul,Abr,2
Região Sul,Mai,27
Região Sul,Jun,13
Região Sul,Jul,6
Região Sul,Ago,8
Região Sul,Set,20
Região Sul,Out,8
Região Sul,Nov,10
Região Sul,Dez,10
