sigla_uf,dm_inst_ensino_valor
AM,473028322.16777647
RS,411820751.8499218
RJ,274037186.1816335
SC,242938217.9326685
ES,198874107.2766106
BA,189796575.56047234
MG,171377127.55531597
PE,162087767.28576604
SP,153545255.78912163
PR,117674072.13114917
AL,92374851.23898835
PA,87110143.68375999
AC,59176124.98131507
MA,56575267.44239074
CE,35193800.79156082
RN,23907330.15774849
RO,16181762.706024507
MT,12848445.888505047
PB,12501148.912207862
PI,8865769.775849227
SE,6237588.228684776
AP,4880448.792297229
RR,2994556.9762119404
MS,2693711.282979714
GO,514530.63743437326
TO,250232.90186742047
DF,0
pa,0
