sigla_uf,dm_inst_saude_valor
RJ,219876516.3574307
MG,171163895.5825374
PE,162068353.17502677
BA,128182953.23729204
RS,112579639.18483724
ES,92780350.10580717
SP,73752158.72804219
AM,73391678.9347432
SC,72846641.64490376
AL,69229244.28164904
PA,43834431.228953324
PR,24811409.06075683
MA,24431921.705309782
AC,24419203.00232421
MS,22841310.883079622
SE,13617730.568124948
CE,12809864.080237271
RN,7396592.758596272
GO,4375615.038797538
RO,3957500.918535637
PI,3150944.569540383
PB,2187817.3303036396
MT,1508275.1159351205
RR,513821.8893763367
AP,185656.63393554007
TO,144936.2082127169
DF,0
pa,0
