sigla_uf,dm_obras_de_infra_valor
MG,12514350242.947836
SC,8065845509.699381
SP,7930654017.686279
RJ,7913931142.63829
RS,6254940425.892952
BA,4124766172.670717
PR,3855952602.0339484
ES,3553396568.9050736
PA,2966449688.83054
PE,2727272491.243347
MT,2659399954.127265
MA,2439377230.2712464
AM,2376700151.746359
CE,2063925973.218757
AL,1113750296.177785
MS,949324905.3555179
RN,714876669.1791337
PB,706135798.8286507
PI,685647737.5399832
GO,649958291.4038317
AC,504060525.7145128
RO,321840999.4865762
RR,247204063.14646754
SE,198528875.6157581
TO,117488307.61728922
AP,47980528.14578692
DF,0
pa,0
