sigla_uf,pepl_telecomunicacoes_r
RJ,34540828.65370694
ES,27726297.562087525
SC,19515575.91232766
SP,18924083.520235095
MG,12070979.928348722
PI,11723827.25459665
RS,8306954.761382587
AL,7604550.780458999
PR,6793636.552752889
PE,5805079.867680299
AM,3424432.068082952
BA,2793631.2653186275
AC,2722476.0913118804
PB,2422054.057943619
PA,1890891.7386317682
GO,1154464.3116882946
MT,996516.969569252
TO,667391.1979150969
MS,665237.5276531017
CE,454833.9928328508
MA,319522.3058784872
RO,274372.44012054795
RN,119691.88380257401
RR,8689.178363885652
AP,0
DF,0
SE,0
pa,0
