sigla_uf,pepl_total_publico
RS,3227399268.417568
RJ,3063034412.572738
MG,2940600221.384575
SC,2746567031.708314
PR,2258297899.2976623
SP,2113265569.9614923
BA,1546699758.7616076
PA,1427166382.0825922
ES,1339387658.867067
AM,1310077226.531535
MT,1235725755.5742538
PE,1211525006.34549
MA,1065328349.4355514
AL,773473836.9254413
CE,615121060.01726
MS,581422118.4810232
PI,461497365.17932445
RO,328672074.5749699
GO,247948359.15598884
AC,213999459.65446925
PB,151684546.99432942
RN,151452409.03539908
RR,104108437.64808258
SE,89707281.66203076
TO,83540492.97522633
AP,33631625.57851442
DF,0
pa,0
