nome_municipio,n_eventos
Joinville,44
Florianópolis,36
Balneário Camboriú,32
Araquari,31
Itajaí,30
Araranguá,29
Biguaçu,29
Barra Velha,26
Garuva,26
Itapoá,26
Porto Belo,26
São João do Sul,23
Santa Rosa do Sul,22
Balneário Piçarras,20
Palhoça,20
Penha,20
Balneário Barra do Sul,19
São Francisco do Sul,19
Navegantes,17
São José,17
Governador Celso Ramos,16
Jaguaruna,16
Sombrio,16
Itapema,15
Balneário Gaivota,14
Tijucas,14
Imaruí,13
Garopaba,12
Imbituba,12
Laguna,12
Bombinhas,10
Passo de Torres,10
Balneário Arroio do Silva,7
Balneário Rincão,6
Pescaria Brava,6
