coluna,tipo,faltantes,pct_faltantes
protocolo_s2i_d,character,0,0
nome_municipio,character,0,0
sigla_uf,character,0,0
regiao,character,0,0
data_registro,Date,0,0
data_evento,Date,0,0
cod_cobrade,numeric,0,0
tipologia,numeric,0,0
descricao_tipologia,character,0,0
grupo_de_desastre,character,0,0
cod_ibge_mun,numeric,0,0
setores_censitarios,logical,691,100
status,character,0,0
dh_descricao,logical,691,100
dh_mortos,numeric,0,0
dh_feridos,numeric,0,0
dh_enfermos,numeric,0,0
dh_desabrigados,numeric,0,0
dh_desalojados,numeric,0,0
dh_desaparecidos,numeric,0,0
dh_afetados_seca_estiagem,numeric,0,0
dh_total_danos_humanos_diretos,numeric,0,0
dh_outros_afetados,numeric,0,0
dm_descricao,logical,691,100
dm_uni_habita_danificadas,numeric,0,0
dm_uni_habita_destruidas,numeric,0,0
dm_uni_habita_valor,numeric,0,0
dm_inst_saude_danificadas,numeric,0,0
dm_inst_saude_destruidas,numeric,0,0
dm_inst_saude_valor,numeric,0,0
dm_inst_ensino_danificadas,numeric,0,0
dm_inst_ensino_destruidas,numeric,0,0
dm_inst_ensino_valor,numeric,0,0
dm_inst_servicos_danificadas,numeric,0,0
dm_inst_servicos_destruidas,numeric,0,0
dm_inst_servicos_valor,numeric,0,0
dm_inst_comuni_danificadas,numeric,0,0
dm_inst_comuni_destruidas,numeric,0,0
dm_inst_comuni_valor,numeric,0,0
dm_obras_de_infra_danificadas,numeric,0,0
dm_obras_de_infra_destruidas,numeric,0,0
dm_obras_de_infra_valor,numeric,0,0
dm_total_danos_materiais,numeric,0,0
da_descricao,logical,691,100
da_polui_cont_da_agua,logical,691,100
da_polui_cont_do_ar,logical,691,100
da_polui_cont_do_solo,logical,691,100
da_dimi_exauri_hidrico,logical,691,100
da_incendi_parques_ap_as_ap_ps,logical,691,100
pepl_descricao,logical,691,100
pepl_assis_med_e_emergen_r,numeric,0,0
pepl_abast_de_agua_pot_r,numeric,0,0
pepl_sist_de_esgotos_sanit_r,numeric,0,0
pepl_sis_limp_e_rec_lixo_r,numeric,0,0
pepl_sis_cont_pragas_r,numeric,0,0
pepl_distrib_energia_r,numeric,0,0
pepl_telecomunicacoes_r,numeric,0,0
pepl_tran_loc_reg_l_curso_r,numeric,0,0
pepl_distrib_combustiveis_r,numeric,0,0
pepl_seguranca_publica_r,numeric,0,0
pepl_ensino_r,numeric,0,0
pepl_total_publico,numeric,0,0
pepr_descricao,logical,691,100
pepr_agricultura_r,numeric,0,0
pepr_pecuaria_r,numeric,0,0
pepr_industria_r,numeric,0,0
pepr_comercio_r,numeric,0,0
pepr_servicos_r,numeric,0,0
pepr_total_privado,numeric,0,0
pe_p_le_pr,numeric,0,0
ano,numeric,0,0
mes,numeric,0,0
mes_nome,factor,0,0
