nome_municipio,regiao_costeira
Itapoá,Região Norte
Garuva,Região Norte
São Francisco do Sul,Região Norte
Joinville,Região Norte
Araquari,Região Norte
Balneário Barra do Sul,Região Norte
Barra Velha,Região Norte
Balneário Piçarras,Região Centro-Norte
Penha,Região Centro-Norte
Navegantes,Região Centro-Norte
Itajaí,Região Centro-Norte
Balneário Camboriú,Região Centro-Norte
Itapema,Região Centro-Norte
Porto Belo,Região Centro-Norte
Bombinhas,Região Centro-Norte
Governador Celso Ramos,Região Central
Biguaçu,Região Central
São José,Região Central
Florianópolis,Região Central
Palhoça,Região Central
Tijucas,Região Central
Garopaba,Região Centro-Sul
Imbituba,Região Centro-Sul
Laguna,Região Centro-Sul
Jaguaruna,Região Centro-Sul
Pescaria Brava,Região Centro-Sul
Imaruí,Região Centro-Sul
Balneário Rincão,Região Sul
Araranguá,Região Sul
Balneário Gaivota,Região Sul
Passo de Torres,Região Sul
Balneário Arroio do Silva,Região Sul
Sombrio,Região Sul
Santa Rosa do Sul,Região Sul
São João do Sul,Região Sul
