regiao_costeira,ano,n_eventos
Região Norte,1991,2
Região Norte,1994,5
Região Norte,1995,4
Região Norte,1996,1
Região Norte,1997,1
Região Norte,1998,3
Região Norte,1999,1
Região Norte,2001,4
Região Norte,2002,1
Região Norte,2003,5
Região Norte,2006,2
Região Norte,2007,2
Região Norte,2008,9
Região Norte,2009,4
Região Norte,2010,8
Região Norte,2011,10
Região Norte,2013,4
Região Norte,2014,3
Região Norte,2015,3
Região Norte,2016,4
Região Norte,2017,15
Região Norte,2018,10
Região Norte,2019,7
Região Norte,2020,9
Região Norte,2021,16
Região Norte,2022,23
Região Norte,2023,15
Região Norte,2024,20
Região Centro-Norte,1991,1
Região Centro-Norte,1992,1
Região Centro-Norte,1994,1
Região Centro-Norte,1995,1
Região Centro-Norte,1999,1
Região Centro-Norte,2000,2
Região Centro-Norte,2001,2
Região Centro-Norte,2002,1
Região Centro-Norte,2003,2
Região Centro-Norte,2004,5
Região Centro-Norte,2007,1
Região Centro-Norte,2008,14
Região Centro-Norte,2009,6
Região Centro-Norte,2010,5
Região Centro-Norte,2011,11
Região Centro-Norte,2012,1
Região Centro-Norte,2013,7
Região Centro-Norte,2015,5
Região Centro-Norte,2016,9
Região Centro-Norte,2017,7
Região Centro-Norte,2018,10
Região Centro-Norte,2019,9
Região Centro-Norte,2020,13
Região Centro-Norte,2021,16
Região Centro-Norte,2022,19
Região Centro-Norte,2023,14
Região Centro-Norte,2024,6
Região Central,1991,4
Região Central,1994,1
Região Central,1995,6
Região Central,1996,1
Região Central,1997,4
Região Central,2000,4
Região Central,2001,7
Região Central,2002,1
Região Central,2004,3
Região Central,2005,1
Região Central,2006,1
Região Central,2008,12
Região Central,2009,1
Região Central,2010,8
Região Central,2011,18
Região Central,2013,1
Região Central,2015,3
Região Central,2016,3
Região Central,2017,2
Região Central,2018,3
Região Central,2019,3
Região Central,2020,4
Região Central,2021,8
Região Central,2022,18
Região Central,2023,10
Região Central,2024,5
Região Centro-Sul,1995,1
Região Centro-Sul,1996,4
Região Centro-Sul,1998,1
Região Centro-Sul,2001,2
Região Centro-Sul,2004,4
Região Centro-Sul,2008,2
Região Centro-Sul,2009,2
Região Centro-Sul,2010,2
Região Centro-Sul,2011,5
Região Centro-Sul,2013,1
Região Centro-Sul,2015,2
Região Centro-Sul,2016,2
Região Centro-Sul,2017,5
Região Centro-Sul,2018,2
Região Centro-Sul,2019,5
Região Centro-Sul,2021,8
Região Centro-Sul,2022,10
Região Centro-Sul,2023,9
Região Centro-Sul,2024,4
Região Sul,1993,3
Região Sul,1994,1
Região Sul,1995,3
Região Sul,1996,1
Região Sul,1998,1
Região Sul,2000,2
Região Sul,2001,7
Região Sul,2002,1
Região Sul,2003,2
Região Sul,2004,6
Região Sul,2005,2
Região Sul,2007,1
Região Sul,2008,2
Região Sul,2009,8
Região Sul,2010,6
Região Sul,2011,8
Região Sul,2013,4
Região Sul,2014,6
Região Sul,2015,6
Região Sul,2016,2
Região Sul,2017,2
Região Sul,2019,1
Região Sul,2020,1
Região Sul,2021,10
Região Sul,2022,11
Região Sul,2023,18
Região Sul,2024,12
